//X,Y,Z,R,G,B,NumberOfReturns,ReturnNumber,GpsTime,Intensity,Classification
4474
-7.23699999,-8.17125001,-1.19475000,69,75,30,2.000000,1.000000,228.714243,32461.000000,0.000000
-7.24750000,-8.16800000,-1.19224995,121,116,38,2.000000,1.000000,228.652597,20403.000000,0.000000
-7.24524999,-8.16925000,-1.19199996,66,65,14,2.000000,1.000000,228.673136,21277.000000,0.000000
-7.24649999,-8.16375001,-1.19199996,109,82,12,2.000000,1.000000,228.632044,13238.000000,0.000000
-7.24074999,-8.17000001,-1.19275003,50,51,15,2.000000,1.000000,228.693689,25536.000000,0.000000
-7.33825001,-8.02575000,-1.24149995,85,77,27,2.000000,1.000000,227.399088,30866.000000,0.000000
-7.34075001,-8.02375000,-1.24250000,80,72,34,2.000000,1.000000,227.378534,24881.000000,0.000000
-7.34950000,-8.02275001,-1.23499995,81,82,61,2.000000,1.000000,227.337427,33313.000000,0.000000
-7.34400001,-8.02299999,-1.23974996,93,84,56,2.000000,1.000000,227.357981,33553.000000,0.000000
-7.34175000,-8.02424999,-1.23999994,68,60,24,2.000000,1.000000,227.378534,30779.000000,0.000000
-7.34300000,-8.02500000,-1.23750000,60,53,25,2.000000,1.000000,227.378534,28180.000000,0.000000
-7.34400001,-8.02299999,-1.23675006,56,47,21,2.000000,1.000000,227.357981,30124.000000,0.000000
-7.33825001,-8.01950001,-1.24050003,116,105,69,2.000000,1.000000,227.357996,22762.000000,0.000000
-7.34050000,-8.01724999,-1.23799997,104,96,66,2.000000,1.000000,227.337442,22085.000000,0.000000
-7.34575001,-8.02049999,-1.23675006,103,104,82,2.000000,1.000000,227.337427,32854.000000,0.000000
-7.34349999,-8.01575001,-1.23324996,93,92,78,2.000000,1.000000,227.316873,34624.000000,0.000000
-7.34375000,-8.01925000,-1.22999995,76,73,52,2.000000,1.000000,227.337427,20621.000000,0.000000
-7.34000000,-8.01325001,-1.22875004,116,113,100,2.000000,1.000000,227.316873,30167.000000,0.000000
-7.17800000,-7.85575001,-1.16625004,71,64,53,2.000000,1.000000,226.905878,34515.000000,0.000000
-7.17899999,-7.85325002,-1.16699999,46,43,32,2.000000,1.000000,226.885324,27459.000000,0.000000
-7.18149999,-7.85449999,-1.16224998,34,28,22,2.000000,1.000000,226.885324,32177.000000,0.000000
-7.17875001,-7.85624998,-1.16374999,40,30,22,2.000000,1.000000,226.905878,27764.000000,0.000000
-7.17850003,-7.85250001,-1.16399997,46,41,34,2.000000,1.000000,226.885324,33772.000000,0.000000
-7.17700002,-7.84925001,-1.16549998,54,52,45,2.000000,1.000000,226.864786,18175.000000,0.000000
-7.17775002,-7.84974997,-1.16300004,44,42,36,2.000000,1.000000,226.864771,30845.000000,0.000000
-7.18375000,-7.84974997,-1.15625005,55,48,35,2.000000,1.000000,226.844217,35519.000000,0.000000
-7.18025002,-7.85374998,-1.15899997,25,19,13,2.000000,1.000000,226.885324,25667.000000,0.000000
-7.18100003,-7.85175001,-1.16150003,33,28,22,2.000000,1.000000,226.864771,34515.000000,0.000000
-7.18050000,-7.85150002,-1.15825003,37,30,22,2.000000,1.000000,226.864771,30692.000000,0.000000
-7.17749998,-7.84949999,-1.15449994,57,50,41,2.000000,1.000000,226.864771,14221.000000,0.000000
-7.19125000,-7.84175002,-1.14700001,114,73,52,2.000000,1.000000,226.762003,36655.000000,0.000000
-7.19375000,-7.84049999,-1.15000003,58,34,21,2.000000,1.000000,226.741449,31325.000000,0.000000
-7.19549999,-7.84149997,-1.14749997,94,55,36,2.000000,1.000000,226.741449,32680.000000,0.000000
-7.18775001,-7.84874999,-1.15800004,55,49,33,2.000000,1.000000,226.823664,33597.000000,0.000000
-7.18899998,-7.84699999,-1.15749996,57,48,35,2.000000,1.000000,226.803110,28988.000000,0.000000
-7.18550000,-7.84724998,-1.15424996,48,41,25,2.000000,1.000000,226.823664,34405.000000,0.000000
-7.18700001,-7.84575002,-1.15399998,51,44,27,2.000000,1.000000,226.803110,31063.000000,0.000000
-7.18875000,-7.84374999,-1.15399998,48,38,25,2.000000,1.000000,226.782556,24007.000000,0.000000
-7.17924997,-7.84724998,-1.16025000,56,56,41,2.000000,1.000000,226.844217,25078.000000,0.000000
-7.18224999,-7.84900003,-1.15874999,48,43,31,2.000000,1.000000,226.844217,34165.000000,0.000000
-7.18074998,-7.84474998,-1.15825003,50,46,26,2.000000,1.000000,226.823664,21757.000000,0.000000
-7.18074998,-7.84250002,-1.15749996,46,38,20,2.000000,1.000000,226.803125,13500.000000,0.000000
-7.18724999,-7.84575002,-1.15125006,48,41,23,2.000000,1.000000,226.803110,28922.000000,0.000000
-7.18474999,-7.84699999,-1.15125006,59,54,35,2.000000,1.000000,226.823664,25733.000000,0.000000
-7.19000003,-7.84450000,-1.15175002,40,29,18,2.000000,1.000000,226.782556,35651.000000,0.000000
-7.19049999,-7.84450000,-1.14899998,67,46,33,2.000000,1.000000,226.782556,37813.000000,0.000000
-7.19049999,-7.84450000,-1.14624994,89,52,30,2.000000,1.000000,226.782556,28660.000000,0.000000
-7.18525002,-7.84474998,-1.14774995,65,53,35,2.000000,1.000000,226.803110,17170.000000,0.000000
-7.18174997,-7.84874999,-1.15274995,66,59,42,2.000000,1.000000,226.844217,22849.000000,0.000000
-7.19025001,-7.83875000,-1.15150004,50,35,22,2.000000,1.000000,226.741465,13150.000000,0.000000
-7.18600002,-7.83875000,-1.15074997,48,32,22,2.000000,1.000000,226.762003,20075.000000,0.000000
-7.19025001,-7.84124999,-1.14949995,73,49,35,2.000000,1.000000,226.762003,35454.000000,0.000000
-7.19450000,-7.84350001,-1.14525002,145,90,59,2.000000,1.000000,226.762003,26650.000000,0.000000
-7.19500002,-7.84124999,-1.14449995,112,65,39,2.000000,1.000000,226.741449,24444.000000,0.000000
-7.19049999,-7.83549999,-1.14525002,63,43,27,2.000000,1.000000,226.720896,11490.000000,0.000000
-7.17375001,-7.85350000,-1.15899997,23,14,9,2.000000,1.000000,226.905878,11752.000000,0.000000
-6.71049997,-8.12550001,-1.53049999,98,112,39,2.000000,1.000000,230.769846,22347.000000,0.000000
-6.71549997,-8.11724999,-1.53624999,96,119,41,2.000000,1.000000,230.687662,37267.000000,0.000000
-6.71374998,-8.11850001,-1.53325003,103,124,45,2.000000,1.000000,230.708200,38534.000000,0.000000
-6.71150002,-8.12049999,-1.53250002,104,125,43,2.000000,1.000000,230.728754,34231.000000,0.000000
-6.71425006,-8.11300000,-1.53474998,87,110,37,2.000000,1.000000,230.667108,30823.000000,0.000000
-6.71300003,-8.10849999,-1.53399997,86,112,41,2.000000,1.000000,230.646555,19900.000000,0.000000
-6.71475002,-8.11300000,-1.53200000,80,103,35,2.000000,1.000000,230.667108,28420.000000,0.000000
-6.71325001,-8.11575001,-1.53200000,96,119,43,2.000000,1.000000,230.687647,36481.000000,0.000000
-6.71574995,-8.11050000,-1.53250002,73,98,30,2.000000,1.000000,230.646555,18830.000000,0.000000
-6.71650002,-8.10849999,-1.53175002,90,113,45,2.000000,1.000000,230.626001,13347.000000,0.000000
-6.71150002,-8.12600001,-1.52799999,97,108,34,2.000000,1.000000,230.769846,25798.000000,0.000000
-6.70749995,-8.12975000,-1.52649998,87,93,32,2.000000,1.000000,230.810953,10747.000000,0.000000
-6.70699999,-8.12600001,-1.52574997,76,82,25,2.000000,1.000000,230.790399,19747.000000,0.000000
