//X,Y,Z,R,G,B,NumberOfReturns,ReturnNumber,GpsTime,Intensity,Classification
97
-6.87724999,-8.11224999,-1.33174997,225,228,232,1.000000,1.000000,229.885889,49413.000000,2.000000
-6.87824997,-8.11500000,-1.30724996,202,215,224,2.000000,1.000000,229.906412,38687.000000,2.000000
-6.87675002,-8.11400001,-1.30374997,197,208,210,2.000000,1.000000,229.906412,42750.000000,2.000000
-6.86924997,-8.12749999,-1.33824997,109,119,89,2.000000,1.000000,211.994410,17956.000000,2.000000
-6.87700001,-8.12000000,-1.33625000,146,158,144,1.000000,1.000000,212.076593,47534.000000,2.000000
-6.87399998,-8.12699999,-1.34324997,118,132,115,2.000000,1.000000,212.035517,48845.000000,2.000000
-6.87324998,-8.12325000,-1.34225004,143,157,141,2.000000,1.000000,212.035517,45219.000000,2.000000
-6.87224999,-8.11900001,-1.34149998,152,166,150,2.000000,1.000000,212.035501,39932.000000,2.000000
-6.87499997,-8.12000000,-1.34100001,146,160,145,1.000000,1.000000,212.056055,46071.000000,2.000000
-6.87275002,-8.12124999,-1.33775001,157,170,156,2.000000,1.000000,212.035501,38053.000000,2.000000
-6.87525001,-8.12049999,-1.33824997,141,155,140,2.000000,1.000000,212.056055,45896.000000,2.000000
-6.87100002,-8.12575000,-1.33674996,138,149,126,2.000000,1.000000,212.014948,21823.000000,2.000000
-6.87100002,-8.12575000,-1.33425003,156,164,141,2.000000,1.000000,212.014948,17781.000000,2.000000
-6.87474999,-8.11900001,-1.33625000,153,166,151,2.000000,1.000000,212.056055,47119.000000,2.000000
-6.87200001,-8.11875000,-1.33625000,150,163,148,2.000000,1.000000,212.035501,34995.000000,2.000000
-6.87724999,-8.12124999,-1.32800000,64,70,60,2.000000,1.000000,212.076593,43755.000000,2.000000
-6.87300000,-8.12275000,-1.33199995,152,164,150,2.000000,1.000000,212.035501,30167.000000,2.000000
-6.87775001,-8.11400001,-1.34624999,55,46,26,1.000000,1.000000,203.091139,55005.000000,2.000000
-6.87950000,-8.11300000,-1.34349995,129,124,107,1.000000,1.000000,203.091139,52034.000000,2.000000
-6.87824997,-8.11375000,-1.33974998,191,199,199,1.000000,1.000000,203.091139,52318.000000,2.000000
-6.88000003,-8.11300000,-1.33699995,193,211,223,1.000000,1.000000,203.091131,51685.000000,2.000000
-6.88175002,-8.11474999,-1.34149998,183,191,193,1.000000,1.000000,203.111685,53105.000000,2.000000
-6.87574998,-8.12124999,-1.33499997,184,201,215,1.000000,1.000000,203.132231,49566.000000,2.000000
-6.88325003,-8.11775001,-1.33100002,186,200,216,1.000000,1.000000,203.132223,53542.000000,2.000000
-6.88500002,-8.12374999,-1.32725006,184,196,198,1.000000,1.000000,203.173323,49828.000000,2.000000
-6.87950000,-8.11950000,-1.32324999,185,200,217,1.000000,1.000000,203.132215,50046.000000,2.000000
-6.88025001,-8.11900001,-1.31699996,184,200,218,1.000000,1.000000,203.132208,49522.000000,2.000000
-6.88549999,-8.12049999,-1.32425004,188,203,214,1.000000,1.000000,203.152769,49457.000000,2.000000
-6.87850002,-8.10649999,-1.34725004,111,101,59,1.000000,1.000000,203.050039,55420.000000,2.000000
-6.88100001,-8.10899999,-1.33425003,182,188,197,1.000000,1.000000,203.070578,52034.000000,2.000000
-6.88149998,-8.11224999,-1.33425003,191,207,221,1.000000,1.000000,203.091131,52886.000000,2.000000
-6.89575002,-8.10625001,-1.33550005,187,203,216,1.000000,1.000000,203.091124,52733.000000,2.000000
-6.88624999,-8.11000000,-1.32575005,184,200,216,1.000000,1.000000,203.091116,53301.000000,2.000000
-6.88724998,-8.11224999,-1.32349997,184,201,217,1.000000,1.000000,203.111662,52231.000000,2.000000
-6.88600001,-8.10649999,-1.31600004,187,199,212,1.000000,1.000000,203.070555,52362.000000,2.000000
-6.88624999,-8.10625001,-1.31275003,183,195,206,1.000000,1.000000,203.070555,52034.000000,2.000000
-6.88125000,-8.11224999,-1.31100004,181,200,217,1.000000,1.000000,203.091101,49369.000000,2.000000
-6.88724998,-8.10950001,-1.30950003,185,204,221,1.000000,1.000000,203.091101,52165.000000,2.000000
